epoch,train_loss,val_loss,val_pixel_accuracy,val_mean_iou,is_best
1,1.9272798513035367,1.3748697092202598,0.847193647874958,0.231579928132385,1
2,1.1845850712834547,0.9079371653848188,0.8628203236719801,0.25040761384982296,1
3,0.8053896846030492,0.6277256134701931,0.8843759364748065,0.270869440274101,1
4,0.6165116291841406,0.521485273562081,0.8819048751892665,0.2706180301092724,0
5,0.5168413175940113,0.4381640631289373,0.8953276807494953,0.31140121205181637,1
6,0.4475535289425135,0.38378655661805,0.903399600700286,0.3480339294274678,1
7,0.39712501578308546,0.38578176165493466,0.8972401430276329,0.3609793420562064,1
8,0.36832020630672946,0.34138495885186687,0.9064055041060313,0.38687564973203165,1
9,0.33972558776003126,0.311702591613998,0.9103492459570576,0.40370887135390426,1
10,0.3154979231739172,0.310618327652301,0.911183398568935,0.3986476890599569,0
11,0.3075929762496191,0.28370821788846884,0.9160955375168237,0.4255026325095806,1
12,0.2880006760418936,0.28277275471635976,0.9155268015803751,0.445624475217564,1
13,0.2727450829628096,0.27909936429995386,0.9136380304719044,0.4530202936341631,1
14,0.26325635433637945,0.27503734867152424,0.9171829490610279,0.4621731640212448,1
15,0.246931741942314,0.2758274663585673,0.9133315403400488,0.4552616283800425,0
16,0.24204698744121622,0.264389569874888,0.9173876427384757,0.4681412476412367,1
17,0.24629197624920998,0.2546456553252517,0.9207570133748317,0.4818112343163552,1
18,0.22694615199009524,0.2559645884491072,0.9185519273637281,0.49288484575980207,1
19,0.22194212164025862,0.25312365005908394,0.9200874667469296,0.5049890893528175,1
20,0.21510960699811268,0.26173189322528095,0.9181922553204912,0.48555852364963903,0
21,0.21204936094506924,0.25912165858382974,0.9175716846820323,0.4956378669168175,0
22,0.20840439230464172,0.25782384654233786,0.9180581586999496,0.5067771932847865,1
23,0.20004415356760147,0.2516188607883325,0.9188806628795845,0.5196671503643764,1
24,0.18681097352312329,0.24751280280253768,0.9206318379090259,0.5313004348573004,1
25,0.17912568398466347,0.2395277017900472,0.9249532584065865,0.5365532752321743,1
26,0.17280270243420565,0.2438942675314553,0.9212172003806359,0.5361877345793556,0
27,0.16907906116417934,0.2397376402189722,0.9229022307158479,0.5447550389142183,1
28,0.17545157251096685,0.2423226889298068,0.9229790709381309,0.5469857755512586,1
29,0.16529119071859438,0.2400335434067137,0.9227156586473755,0.5397965473315096,0
30,0.15509347677751925,0.23824917933180387,0.9246648734543237,0.5591685676374702,1
