epoch,train_loss,val_loss,val_pixel_accuracy,val_mean_iou,is_best
1,0.542652718657684,0.3258758559522205,0.8944767865967783,0.4148256467041033,1
2,0.31755301201992897,0.2706822105965415,0.908475852750673,0.475739404577778,1
3,0.2794058373011273,0.25455316235367736,0.9120437889047779,0.5148042353493911,1
4,0.25806716531414914,0.24773456306669306,0.9152380058935481,0.5430536541679247,1
5,0.24587856606901615,0.23671683586863138,0.9170584800586726,0.5524213079713737,1
6,0.23349146780425778,0.24114157931320118,0.9159028701474176,0.5522809094741613,0
7,0.22317605769786567,0.23007247267067835,0.9197136161465344,0.5644945292874468,1
8,0.21370145748666894,0.23364256496865848,0.9187818237140394,0.5561957046398868,0
9,0.2063253412390204,0.22397742660096964,0.9211478519568052,0.5680055705700842,1
10,0.19617516219255182,0.22508156726771056,0.920975737744995,0.5769165257878162,1
