epoch,train_loss,val_loss,val_pixel_accuracy,val_mean_iou,is_best
1,1.9739777105481495,1.5766736227281963,0.8813677000967362,0.29239603656593466,1
2,1.3788605211722265,1.147075883953921,0.8962872881266823,0.3073980851517971,1
3,1.008135317994511,0.8289060753094556,0.903417163710254,0.30940529596212657,1
4,0.7452575323881523,0.6454607192953374,0.9038834624463745,0.3116808830416756,1
5,0.5856796414882606,0.5146757113981696,0.9101896509347661,0.3367387422910307,1
6,0.47202177302662607,0.4422887767468295,0.9150456178236457,0.3565708621644852,1
7,0.3986727887139516,0.4001644205998925,0.9150141555560228,0.3938257486641168,1
8,0.3471573120848637,0.34411739360435817,0.9212079670676312,0.4135344880236932,1
9,0.30262697404394556,0.32264770942453097,0.9205170458130048,0.41095487572110545,0
10,0.2678164456944058,0.30614265121649925,0.9226198260588409,0.4577985560720352,1
