epoch,train_loss,val_loss,val_pixel_accuracy,val_mean_iou,is_best
1,0.8293573542497426,0.5133603690931646,0.85987663833803,0.4620506339284989,1
2,0.4683455385934128,0.4327425635438588,0.888033511340217,0.5192904160465026,1
3,0.4107243417491028,0.3982244470478869,0.8854216009578987,0.5252728008225318,1
4,0.3715047916471357,0.38097761196371366,0.8938762598050555,0.5423078542940266,1
5,0.3463140309618557,0.36821962140931735,0.8829995649499496,0.5249317669744962,0
6,0.3259371442528643,0.35523580498040763,0.8947895691821585,0.5353049651716164,0
7,0.3077636147475355,0.35169750034889335,0.8950396079555013,0.5517545812667178,1
8,0.2868392255856194,0.3665194981512118,0.8838553550586726,0.5274844510690929,0
9,0.27363831543369266,0.3471786069356577,0.8921753586862803,0.5432577128353985,0
10,0.2553819899360205,0.3490815834514546,0.8988761809440192,0.5683917440717141,1
