epoch,train_loss,val_loss,val_pixel_accuracy,val_mean_iou,is_best
1,1.8145352718248091,1.327087641404102,0.8815114571942295,0.2885465773167273,1
2,1.0693346342145795,0.7964899594498194,0.9015643236614653,0.30992066283670994,1
3,0.6893326404636629,0.5480060475511153,0.9058744571731999,0.3233821252528732,1
4,0.502305370933992,0.4419159450409069,0.906748500325959,0.3431718762464859,1
5,0.40933337583185925,0.36487058888052865,0.9161555540513543,0.3795965567899289,1
6,0.34189827697102304,0.3290612122412485,0.9192022516140226,0.398368106271629,1
7,0.2973084638562873,0.30185017719724455,0.9187876232860868,0.4046322895650084,1
8,0.2635992075183204,0.2815603903052303,0.9224679199875925,0.4467350639768096,1
9,0.23874858246205555,0.2654335441852482,0.9241537882213157,0.45625850340871205,1
10,0.22177995975857703,0.2727129322603285,0.9210674794172695,0.5008434264125673,1
