epoch,train_loss,val_loss,val_pixel_accuracy,val_mean_iou,is_best
1,0.9286364688517347,0.49147137851124656,0.8621610782669499,0.3062896378118747,1
2,0.476229887583469,0.3827900860062518,0.8838396321395525,0.36593327466960923,1
3,0.3946414752622218,0.33946846243029166,0.8928596424703482,0.3924542236521138,1
4,0.35294275626129323,0.31403689409329144,0.8986289680244784,0.4238157742682836,1
5,0.33097004337285135,0.2960814160180766,0.9029754104716942,0.4431864383402525,1
6,0.31181818689767676,0.29010559857132295,0.9042954785024815,0.4564705075507725,1
7,0.29733043143471855,0.27601437998652295,0.907467450107251,0.4683404208905977,1
8,0.2855658797946807,0.27289622011287373,0.9085289360857588,0.4799598328787018,1
9,0.27612909964250093,0.26214036909038574,0.9112060053993523,0.4959887142847675,1
10,0.2685675938697012,0.255058853454577,0.912914924056822,0.5019100451013657,1
