epoch,train_loss,val_loss,val_pixel_accuracy,val_mean_iou,is_best
1,1.0627912844117247,0.4790610871597382,0.8858685294519684,0.31840409573435524,1
2,0.4571653603906189,0.346912205580266,0.9016672208845053,0.3967010838722511,1
3,0.34796393597053854,0.30062706533864564,0.9083373201968371,0.43377291903913295,1
4,0.2931843825290888,0.27713599548365514,0.9130530623054761,0.45102980556805794,1
5,0.25896698627282727,0.26580830068800043,0.9143118980274226,0.4738262360004547,1
6,0.23368809386717046,0.26733244207473333,0.9137243340185481,0.4931700146958344,1
7,0.2121743501715798,0.2530195307723606,0.9165553466468287,0.5064748432781804,1
8,0.19572559431966874,0.2514925679921462,0.9166249579407806,0.5095509291767898,1
9,0.1795189079516032,0.24352874274930916,0.9197875647974849,0.526512148739615,1
10,0.170999257754542,0.24217124357518727,0.9199031290744869,0.5378676983450326,1
