epoch,train_loss,val_loss,val_pixel_accuracy,val_mean_iou,is_best
1,1.154433027200436,0.5994578307923205,0.8420784253291134,0.25972104584748223,1
2,0.5794290587777008,0.4584825206573045,0.8679195439992009,0.326814208595818,1
3,0.471690784205345,0.39616257553947726,0.8808781044961306,0.36159896136425657,1
4,0.4163305262991784,0.36181093886755356,0.8877696390267497,0.3757669798225787,1
5,0.38512720250810806,0.33907330252761636,0.8935647094233681,0.3901542123016854,1
6,0.3600099641722004,0.3287416013862692,0.8952954791596568,0.4057293689632538,1
7,0.341410098976951,0.3093864357407289,0.8994601797768759,0.4261730168362587,1
8,0.32645409038664913,0.3028257629993305,0.9010886601772796,0.4392379498409816,1
9,0.31365652536696526,0.2877789117285573,0.9051148282406628,0.45265527193937716,1
10,0.30473874287871444,0.2834198618881795,0.905696740541933,0.457946458256223,1
