epoch,train_loss,val_loss,val_pixel_accuracy,val_mean_iou,is_best
1,1.8019580032974583,1.419566027729861,0.8441918682442379,0.3510848436693593,1
2,1.205640409645332,1.0519270146839712,0.8638275762586222,0.42767638774952943,1
3,0.8907942264450422,0.7755045752826962,0.8874500382476026,0.472099953735926,1
4,0.6868511516132367,0.6239842368166989,0.8933977704670676,0.4901601156035595,1
5,0.5550545687513537,0.5439824770790089,0.8920891208571669,0.5060192672501815,1
6,0.47400532645832877,0.47612668443496264,0.9016095537516824,0.5210372579032309,1
7,0.43422737952118845,0.4674990648857517,0.9050622870752019,0.5276335301912818,1
8,0.3951938977839567,0.44389742909658647,0.8961070085117345,0.5268026269653348,0
9,0.35687660930456533,0.4074134821044645,0.9063551809072173,0.5388819275217609,1
10,0.31229405080061595,0.43163858179609677,0.894050312684009,0.5313744069139542,0
11,0.2932184301492105,0.4067724104444239,0.901899745936028,0.5344825255605692,0
12,0.28614340112284675,0.4048059809336271,0.9015781407722072,0.5425564955886769,1
13,0.2651196494147372,0.38909073926077237,0.8969377438120374,0.5425724711732376,1
14,0.2396640222727571,0.3826123263441217,0.9100606309934388,0.555943825064793,1
15,0.22563801725879162,0.3817755691456442,0.9116875670318809,0.548545655262329,0
16,0.2263290375050235,0.3729556198877409,0.91535062931107,0.5673762195537142,1
17,0.21267565627906174,0.397962971017627,0.9036388617986625,0.5640788057896434,0
18,0.2029245807748556,0.3729147854515553,0.9094069551491,0.5752543456572842,1
19,0.1901954356342975,0.4056732493326128,0.9141089130057621,0.5669591446957616,0
20,0.1900820383688068,0.3829943255733192,0.912143088093035,0.5742230684370169,0
21,0.17888696418565314,0.3868317219803503,0.9111925333056443,0.5712566872969732,0
22,0.17779675273383794,0.40499714602532005,0.919807838655577,0.5861229484081579,1
23,0.16934128553577132,0.3923203477869124,0.9189190090585043,0.5957050688539484,1
24,0.15776794052556928,0.3941704400615769,0.9177077856872476,0.5939840643803279,0
25,0.2065653305127465,0.4338397783995637,0.9046966675954744,0.5427783939524532,0
26,0.18903694265267154,0.37559579234585305,0.9129776350100942,0.5859164192731354,0
27,0.15117750779826447,0.38462812647042977,0.9157796169193725,0.5890565575838664,0
28,0.1399463402920308,0.3942417726221508,0.9160489602172359,0.5944485546461898,0
29,0.13679790653153082,0.4100795375787394,0.9153201363770188,0.594850493490833,0
30,0.13895673950646817,0.41402496194935745,0.9194686869111709,0.5932155209910077,0
