epoch,train_loss,val_loss,val_pixel_accuracy,val_mean_iou,is_best
1,1.0340571465232504,0.5422412588650894,0.8518989901844297,0.279861824509182,1
2,0.5241448065139499,0.41725385413676863,0.8767491706447679,0.35010956728273784,1
3,0.42980359732182777,0.36512578712979366,0.8873491618386188,0.3764144327831167,1
4,0.381859671833055,0.3359555890470302,0.893405640141319,0.3933664679954066,1
5,0.3559555311530087,0.31594790748920926,0.8985278780335212,0.41670527145133596,1
6,0.3339356238720156,0.30757709411079437,0.9001421470180013,0.43323908816354245,1
7,0.3176195601047729,0.2909773451803831,0.9037615892864653,0.44928916007357395,1
8,0.3043844240499008,0.2865553813940102,0.9047989076432117,0.45942104141922746,1
9,0.2935528587637608,0.2730919977055905,0.908659073225101,0.4732707975292981,1
10,0.2854824622124734,0.26793253365628333,0.9096410902801144,0.4781094862562542,1
