epoch,train_loss,val_loss,val_pixel_accuracy,val_mean_iou,is_best
1,2.467256303914217,2.072070673047935,0.8103106369080165,0.23035573106058005,1
2,2.0329528411282896,1.9022443256018782,0.8663530845180013,0.2724580269936407,1
3,1.8942294220998133,1.7981908077506967,0.8756172190444146,0.28467095399037384,1
4,1.7879136119341001,1.7012548642395964,0.8851543606210044,0.2978322812897101,1
5,1.6967101813004013,1.6195088355409666,0.8896004472735111,0.30771584042405775,1
6,1.6109591445108349,1.5510005601161583,0.8960312854874664,0.329973047733352,1
7,1.5307096509862925,1.466284550215001,0.8992797522974849,0.33549816454540476,1
8,1.4492258983084878,1.3941903520240115,0.9022747465932033,0.34121334816033105,1
9,1.373254670179684,1.328919256680105,0.9003984782448687,0.3401012248811396,0
10,1.303184604356172,1.2667063909456193,0.9033140036170929,0.3414275961284822,1
