epoch,train_loss,val_loss,val_pixel_accuracy,val_mean_iou,is_best
1,0.9690934052063301,0.4337419699852431,0.8904485484311911,0.34087948035654997,1
2,0.4170305056506223,0.32221144931152723,0.9052347791628113,0.40621718211435776,1
3,0.32418813215219183,0.2859655982071426,0.9107620670529105,0.4455199640488124,1
4,0.27528968748023386,0.2670324849889866,0.9144958578240663,0.4622820687467331,1
5,0.2443867470685796,0.25707853277631276,0.9159132699465848,0.4953188910095811,1
6,0.22123945104089773,0.26141324272306576,0.9147638539125589,0.5028300531411751,1
7,0.2003180901416613,0.24506008498681506,0.9186579461694566,0.5126918349902538,1
8,0.18323481890605292,0.24531501168598235,0.9182465215711222,0.5187890278431408,1
9,0.16913522089497707,0.23897005108211436,0.9211780984501178,0.5433703280934066,1
10,0.16145412934531922,0.24316822660242082,0.9198470227330081,0.5441765464291425,1
