metric,value
best_epoch,10
val_loss,0.229010
val_pixel_accuracy,0.919261
val_mean_iou,0.565489

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,52393,39312,161388,0.243587,present
2,67818,57083,44808,80093,0.559450,present
3,13923779,13780379,12823515,14880643,0.861758,present
4,23519044,23991795,22638165,24872674,0.910162,present
5,71845,29270,20257,80858,0.250526,present
6,137257,125705,107423,155539,0.690650,present
7,4845315,4484726,4116431,5213610,0.789555,present
8,302346,308096,254281,356161,0.713950,present
9,40505,11578,9525,42558,0.223812,present
10,911811,912550,877725,946636,0.927204,present
11,4148624,4214130,3819601,4543153,0.840738,present
12,928096,943185,837317,1033964,0.809813,present
13,6629909,6656332,6053666,7232575,0.837000,present
14,1118808,1151220,1077888,1192140,0.904162,present
15,436338,359933,250468,545803,0.458898,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,2404,1892,4761,0.397396,present
18,338489,355200,264476,429213,0.616188,present
19,2815384,2998444,2340268,3473560,0.673738,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,31465,22862,62352,0.366660,present
22,85408,89959,71951,103416,0.695743,present
23,286740,275576,255829,306487,0.834714,present
24,35676,35137,24576,46237,0.531522,present
