metric,value
best_epoch,10
val_loss,0.248875
val_pixel_accuracy,0.914394
val_mean_iou,0.522098

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,44377,31554,161130,0.195829,present
2,67818,35599,30736,72681,0.422889,present
3,13923779,13933094,12849319,15007554,0.856190,present
4,23519044,24193712,22690916,25021840,0.906844,present
5,71845,12685,8881,75649,0.117397,present
6,137257,127282,102403,162136,0.631587,present
7,4845315,4391185,4049486,5187014,0.780697,present
8,302346,309048,241835,369559,0.654388,present
9,40505,4259,3814,40950,0.093138,present
10,911811,907244,867721,951334,0.912110,present
11,4148624,4280077,3819138,4609563,0.828525,present
12,928096,973800,834471,1067425,0.781761,present
13,6629909,6760791,6053815,7336885,0.825121,present
14,1118808,1147641,1069840,1196609,0.894060,present
15,436338,313993,214846,535485,0.401218,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,1392,1238,4403,0.281172,present
18,338489,329760,246981,421268,0.586280,present
19,2815384,2679168,2180505,3314047,0.657958,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,29537,18548,64738,0.286509,present
22,85408,85461,68705,102164,0.672497,present
23,286740,276292,250353,312679,0.800671,present
24,35676,30163,20916,44923,0.465597,present
