epoch,train_loss,val_loss,val_pixel_accuracy,val_mean_iou,is_best
1,1.185805000109246,0.5466610995468509,0.8800317612823856,0.30278320818043203,1
2,0.5162690551231272,0.3846955507151371,0.8978614365589249,0.385666029270422,1
3,0.38561182486666234,0.3234291839567521,0.9049027906292059,0.4155923372732317,1
4,0.32104666830712547,0.29553375698997064,0.9099352255162769,0.43477619427946324,1
5,0.28150309418862346,0.2779995356642542,0.9126602521975942,0.4609253061595926,1
6,0.2548119693333139,0.2770200333235883,0.9121816478539283,0.46863394152854504,1
7,0.2309541279887223,0.26193189424428776,0.9151965381319398,0.4883148260341453,1
8,0.21162982137714687,0.2613216690909654,0.9146191439108765,0.49964997191053734,1
9,0.19514260713133783,0.25099399196507954,0.9179025231588577,0.5170948213145549,1
10,0.18545628641184017,0.24782187229932398,0.9189025468171685,0.5228730880904963,1
