epoch,train_loss,val_loss,val_pixel_accuracy,val_mean_iou,is_best
1,1.018124479812989,0.5400261572520794,0.8709859075328061,0.4267360457075029,1
2,0.4950656894677104,0.43163496500550497,0.887751829576043,0.47954398402383513,1
3,0.39839381506640237,0.4381449080572475,0.8858225764689183,0.47868152618972865,0
4,0.34237139853921283,0.38063635154656095,0.8964138436606242,0.5289627606618188,1
5,0.29797141493449053,0.36278019931723904,0.8940022403106074,0.5310089761641664,1
6,0.26575021546962846,0.38517491304858376,0.890317031223713,0.5226158038002854,0
7,0.24882058263145682,0.3730293511141036,0.9059870805907217,0.5538796678530649,1
8,0.2293943611663223,0.38250523224011723,0.9018819529147039,0.5481784345882662,0
9,0.20735125908053154,0.3648948307634202,0.9048079930917732,0.5533470873598101,0
10,0.20439343660488654,0.47097765693433513,0.8792790491199108,0.5019450174705024,0
