epoch,train_loss,val_loss,val_pixel_accuracy,val_mean_iou,is_best
1,1.7327860619449422,0.9272052417051744,0.8512716177815864,0.26508858473141106,1
2,0.8530732017679349,0.6155025679843743,0.8748015823466941,0.2960312887113188,1
3,0.6260117876425476,0.4839138775301814,0.8875537405103886,0.3390428577580126,1
4,0.5076917091030039,0.41771423941024377,0.8951384306916639,0.3707959015302366,1
5,0.43305124321397553,0.3719451011510749,0.9009218526560397,0.39707653094280565,1
6,0.38373155047128726,0.3486510928354225,0.9025899278684387,0.4025468194971296,1
7,0.34563429460240114,0.32404970886087997,0.9058699062342278,0.41982800844209756,1
8,0.3149829339323704,0.3114526877091999,0.9076982336442211,0.4307868876099187,1
9,0.29043598173445473,0.29810596166196135,0.9096693159593708,0.44080710034137327,1
10,0.2718029613052348,0.29041109158886874,0.9106600241577641,0.44414700807803464,1
