metric,value
best_epoch,9
val_loss,0.230945
val_pixel_accuracy,0.922270
val_mean_iou,0.562304

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,56063,49361,155009,0.318440,present
2,67818,45464,39639,73643,0.538259,present
3,13923779,13798954,12872800,14849933,0.866859,present
4,23519044,23898374,22637955,24779463,0.913577,present
5,71845,31839,23536,80148,0.293657,present
6,137257,120960,105416,152801,0.689891,present
7,4845315,4577035,4166070,5256280,0.792589,present
8,302346,319280,264493,357133,0.740601,present
9,40505,27622,16430,51697,0.317813,present
10,911811,935460,883170,964101,0.916055,present
11,4148624,4181591,3801303,4528912,0.839341,present
12,928096,938709,841655,1025150,0.821007,present
13,6629909,6878310,6159115,7349104,0.838077,present
14,1118808,1121643,1067178,1173273,0.909573,present
15,436338,394759,270771,560326,0.483238,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,0,0,4249,0.000000,present_in_gt_not_predicted
18,338489,329453,258219,409723,0.630228,present
19,2815384,2776093,2310825,3280652,0.704380,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,56250,30808,79191,0.389034,present
22,85408,84394,70885,98917,0.716611,present
23,286740,258933,240534,305139,0.788277,present
24,35676,35374,25214,45836,0.550092,present
