epoch,train_loss,val_loss,val_pixel_accuracy,val_mean_iou,is_best
1,1.061687506559958,0.5552574560587692,0.8494926113780703,0.2740832587602541,1
2,0.536748365639999,0.42656664941384687,0.8747142930370962,0.34501330662092267,1
3,0.439226197450852,0.3720666434851501,0.8858836773426986,0.37291571787494865,1
4,0.3896301783365777,0.3417324623942857,0.8921448821816117,0.3883070349676688,1
5,0.3625564495628924,0.3212528798333087,0.897390488307537,0.409685825663441,1
6,0.33984995992614986,0.3124173464476661,0.899027495557495,0.4269607468177155,1
7,0.32301791991334516,0.2951107642852763,0.9027922885735615,0.44411361647177006,1
8,0.30939201871340277,0.29015536487984944,0.9039382708666303,0.45509011744004135,1
9,0.29812438275963166,0.27628800341129944,0.9078930368333614,0.4684588136745008,1
10,0.28988096292337956,0.27144293834030386,0.908716280335212,0.4732316921212014,1
