epoch,train_loss,val_loss,val_pixel_accuracy,val_mean_iou,is_best
1,0.5526727535376712,0.32854862396842216,0.8939765611856494,0.40976210563628174,1
2,0.32126977620865566,0.27344387521012153,0.907861673142034,0.4714084145630246,1
3,0.28205700478220275,0.2565898549508599,0.9116153434661003,0.5101986552116782,1
4,0.2597009238274048,0.2488803160784222,0.9150697361572594,0.539181518118773,1
5,0.24781844865658498,0.23843900317860164,0.9164923563940528,0.548243178874273,1
6,0.23580807895370193,0.24711243254740498,0.9139063551480484,0.5450576095546217,0
7,0.22531607655887245,0.23117110207376057,0.9195400068609102,0.5620590086082368,1
8,0.21565936802414815,0.23374290992963362,0.918608411581006,0.5535391915377236,0
9,0.2084136678014895,0.22502648497494201,0.9211385857850354,0.5692357359481028,1
10,0.1990002425689383,0.2270585548227921,0.9200407580122812,0.5756674342999917,1
