metric,value
best_epoch,10
val_loss,0.292822
val_pixel_accuracy,0.903340
val_mean_iou,0.445504

class_id,gt_pixels,pred_pixels,tp_pixels,union_pixels,iou,status
0,13426,0,0,13426,0.000000,present_in_gt_not_predicted
1,148307,12434,9975,150766,0.066162,present
2,67818,13827,11628,70017,0.166074,present
3,13923779,14303191,12854245,15372725,0.836172,present
4,23519044,24228418,22622768,25124694,0.900420,present
5,71845,145,115,71875,0.001600,present
6,137257,114663,86272,165648,0.520815,present
7,4845315,4411492,4037242,5219565,0.773482,present
8,302346,289442,214348,377440,0.567900,present
9,40505,0,0,40505,0.000000,present_in_gt_not_predicted
10,911811,925814,857097,980528,0.874118,present
11,4148624,4225433,3753159,4620898,0.812214,present
12,928096,970334,806943,1091487,0.739306,present
13,6629909,6964361,6067852,7526418,0.806207,present
14,1118808,1142845,1052591,1209062,0.870585,present
15,436338,202732,140858,498212,0.282727,present
16,22,0,0,22,0.000000,present_in_gt_not_predicted
17,4249,0,0,4249,0.000000,present_in_gt_not_predicted
18,338489,297361,216330,419520,0.515661,present
19,2815384,2380187,1934071,3261500,0.593000,present
20,3615,0,0,3615,0.000000,present_in_gt_not_predicted
21,53749,8727,7558,54918,0.137623,present
22,85408,85788,65701,105495,0.622788,present
23,286740,268540,230007,325273,0.707120,present
24,35676,20826,14450,42052,0.343622,present
